序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202209) ,净利润(202209),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
4867,688468,科美诊断,科美诊断技术股份有限公司,北京,北京市,3.60亿,1.18亿,632,2021-04-09,--,,--,LiCA系列、CC系列,从事临床免疫化学发光诊断检测试剂和仪器的研发、生产和销售。
4868,688475,萤石网络,杭州萤石网络股份有限公司,--,--,31.37亿,2.19亿,4057,2022-12-28,,,--,智能家居产品、云平台服务,为智能家居等相关行业提供用于管理物联网设备的开放式云平服务，以及智能家居摄像机、智能入户、智能控制和智能服务机器人等智能家居产品的设计、研发、生产和销售。
4869,688480,赛恩斯,赛恩斯环保股份有限公司,--,--,3.31亿,5323.38万,720,2022-11-25,,,--,重金属污染防治综合解决方案、药剂销售、运营服务,从事重金属污染防治。
4870,688485,九州一轨,北京九州一轨环境科技股份有限公司,--,--,2.25亿,2097.80万,177,2023-01-18,,,--,钢弹簧浮置道床减振系统、预制式钢弹簧浮置板、隔离式高弹性减振垫、重型调频钢轨耗能装置、声屏障、大荷载阻尼弹簧隔振器、轨道智慧运维管理信息系统、病害治理服务,专注于减振降噪相关的技术开发、产品研制、工程设计、检测评估、项目服务和轨道智慧运维与病害治理。
4871,688486,龙迅股份,龙迅半导体(合肥)股份有限公司,--,--,1.73亿,4981.10万,162,2023-02-21,--,,--,高清视频桥接及处理芯片、高速信号传输芯片,高清视频桥接及处理芯片和高速信号传输芯片的研发设计和销售。
4872,688488,艾迪药业,江苏艾迪药业股份有限公司,江苏,扬州市,1.34亿,-7699.17万,379,2020-07-20,--,,--,人源蛋白、药品、HIV诊断设备及试剂,探索、研发和销售创新性化学药物以及人源蛋白产品。
4873,688489,三未信安,三未信安科技股份有限公司,--,--,1.72亿,2979.50万,366,2022-12-02,,,--,密码芯片、密码板卡、密码整机、密码系统,密码技术的创新和密码产品的研发、销售及服务，为网络信息安全领域提供全面的商用密码产品和解决方案。
4874,688496,清越科技,苏州清越光电科技股份有限公司,--,--,7.61亿,2214.23万,976,2022-12-28,,,--,PMOLED、电子纸模组、硅基OLED、TFT-LCD模组、CTP模组,中小显示面板的研发、生产、销售。
4875,688498,源杰科技,陕西源杰半导体科技股份有限公司,--,--,1.93亿,7392.39万,513,2022-12-21,,,--,光芯片,光芯片的研发、设计、生产与销售。
4876,688499,利元亨,广东利元亨智能装备股份有限公司,广东,惠州市,29.35亿,2.83亿,6496,2021-07-01,--,,--,锂电池制造设备、汽车零部件制造设备、其他领域制造设备,智能制造装备的研发、生产及销售，为锂电池、汽车零部件、ICT等行业的国内外知名企业提供高端装备和数智整厂解决方案。
4877,688500,慧辰股份,北京慧辰资道资讯股份有限公司,北京,北京市,3.32亿,-1217.12万,743,2020-07-16,--,,--,数据产品、解决方案,为企业和政府机构提供基于客户内外部多维数据(包括消费者态度与行为数据、行业数据等)的经营管理分析与应用产品、行业数字化分析应用解决方案等服务。
4878,688501,青达环保,青岛达能环保设备股份有限公司,山东,青岛市,3.46亿,1599.44万,685,2021-07-16,--,,--,烟气节能环保处理、炉渣节能环保处理、清洁能源消纳系统,节能环保设备的设计、生产、安装和销售业务
4879,688502,茂莱光学,南京茂莱光学科技股份有限公司,--,--,3.38亿,5251.01万,857,2023-03-09,--,,--,精密光学器件、高端光学镜头、先进光学系统,精密光学器件，高端光学镜头和先进光学系统的研发、设计、制造及销售。
4880,688503,聚和材料,常州聚和新材料股份有限公司,--,--,48.80亿,3.03亿,282,2022-12-09,,,--,P型单晶PERC正面银浆、N型电池银浆、多晶硅电池正面银浆,从事新型电子浆料研发、生产和销售。
4881,688505,复旦张江,上海复旦张江生物医药股份有限公司,上海,上海市,7.16亿,3674.00万,910,2020-06-19,--,,--,皮肤科产品、抗肿瘤产品,主要从事生物医药的创新研究开发、生产制造和市场营销。
4882,688506,百利天恒,四川百利天恒药业股份有限公司,--,--,4.80亿,-2.43亿,1969,2023-01-06,,,--,麻醉类、肠外营养、抗感染类、儿科类、中成药制剂,药品的研发、生产及销售。
4883,688508,芯朋微,无锡芯朋微电子股份有限公司,江苏,无锡市,5.28亿,7833.07万,338,2020-07-22,,,--,电源管理芯片,电源管理集成电路的研发和销售。
4884,688509,正元地信,正元地理信息集团股份有限公司,北京,北京市,7.65亿,-4056.65万,2856,2021-07-30,--,,--,测绘地理信息技术服务、地下管网安全运维保障技术服务、智慧城市建设运营服务,测绘地理信息技术服务、地下管网安全运维保障技术服务和智慧城市建设运营服务。
4885,688510,航亚科技,无锡航亚科技股份有限公司,江苏,无锡市,2.50亿,781.72万,439,2020-12-16,--,,--,航空涡扇发动机压气机叶片、转动件及结构件、医疗骨科植入锻件,专注于航空发动机关键零部件及医疗骨科植入锻件的研发、生产及销售。
4886,688511,天微电子,四川天微电子股份有限公司,四川,成都市,7717.76万,2994.71万,255,2021-07-30,--,,--,新型灭火抑爆系统、航空放电管、熔断器,新型灭火抑爆系统、某三防通用采集驱动装置、高能航空点火放电器件、高精度熔断器件等产品研发、生产、销售。
